Number,Ridden Date,Line,Car Type
3192,1/19/2025 10:29am,C,R179
1483,1/19/2025 7:06pm,3,R62
3206,1/20/2025 9:36am,C,R179
2746,1/20/2025 10:04am,D,R68
2562,1/20/2025 10:09am,D,R68
2115,1/20/2025 10:26am,6,R62A
1243,1/20/2025 5:53pm,4,R142
6035,1/20/2025 6:09pm,A,R46
3155,1/20/2025 6:26pm,C,R179
4279,1/20/2025 7:37pm,C,R211A
3146,1/24/2025 8:17pm,C,R179
8131,1/24/2025 8:50pm,L,R143
8607,1/24/2025 9:08pm,J,R160
9654,1/24/2025 11:29pm,F,R160
6035,1/24/2025 11:35pm,A,R46
3165,1/25/2025 1:24pm,A,R179
3226,1/25/2025 1:51pm,C,R179
6118,1/26/2025 1:37pm,C,R46
8257,1/26/2025 4:58pm,J,R143
3232,1/26/2025 5:19pm,C,R179
4302,1/30/2025 8:30pm,C,R211A
3229,1/30/2025 9:19pm,C,R179
2917,2/1/2025 10:09am,S,R68
6400,2/1/2025 10:18am,2,R142
1549,2/1/2025 12:44pm,3,R62
2916,2/1/2025 12:47pm,S,R68
3229,2/1/2025 12:56pm,C,R179
4331,2/1/2025 2:21pm,A,R211A
9254,2/1/2025 2:34pm,F,R160
9923,2/1/2025 5:09pm,F,R160
4394,2/1/2025 5:21pm,A,R211A
4203,2/2/2025 6:17pm,A,R211A
3209,2/2/2025 9:39pm,C,R179
2917,2/3/2025 7:11pm,S,R68
6883,2/3/2025 7:21pm,2,R142
6537,2/3/2025 8:03pm,2,R142
2923,2/3/2025 8:14pm,S,R68
3182,2/4/2025 6:19pm,C,R179
2917,2/4/2025 6:29pm,S,R68
1378,2/4/2025 6:37pm,3,R62
6518,2/4/2025 7:40pm,2,R142
2917,2/4/2025 7:45pm,S,R68
4322,2/4/2025 7:57pm,C,R211A
3210,2/5/2025 6:45pm,C,R179
4368,2/8/2025 10:48am,C,R211A
2920,2/8/2025 10:58am,S,R68
6634,2/8/2025 11:20am,2,R142
1585,2/8/2025 12:36pm,3,R62
2914,2/8/2025 12:43pm,S,R68
4258,2/8/2025 12:52pm,C,R211A
3152,2/12/2025 7:44am,C,R179
6003,2/12/2025 8:46am,C,R46
3193,2/12/2025 6:56pm,C,R179
3157,2/12/2025 7:37pm,C,R179
3153,2/13/2025 8:07am,C,R179
4487,2/13/2025 12:24pm,A,R211A
4095,2/15/2025 7:28pm,C,R211A
8182,2/15/2025 7:41pm,L,R143
8117,2/15/2025 9:52pm,L,R143
4249,2/15/2025 10:05pm,C,R211A
4211,2/16/2025 1:14pm,C,R211A
9851,2/16/2025 1:24pm,F,R160
9482,2/16/2025 3:53pm,F,R160
4260,2/16/2025 4:00pm,A,R211A
3225,2/21/2025 9:07pm,C,R179
9424,2/21/2025 9:19pm,F,R160
3242,2/22/2025 12:06am,F,R179
4174,2/22/2025 12:16am,A,R211A
4094,2/22/2025 8:29am,C,R211A
6483,2/22/2025 9:01am,2,R142
5712,2/22/2025 10:15am,Q,R46
4302,2/22/2025 10:40am,C,R211A
3163,2/23/2025 9:24am,C,R179
2919,2/23/2025 9:29am,S,R68
6711,2/23/2025 9:38am,2,R142
6323,2/23/2025 11:55am,2,R142
4260,2/23/2025 1:26pm,A,R211A
2920,3/1/2025 9:48am,S,R68
6317,3/1/2025 10:20am,2,R142
6629,3/1/2025 12:39pm,2,R142
4410,3/1/2025 7:51pm,A,R211A
3236,3/1/2025 10:45pm,C,R179
4254,3/8/2025 7:37am,C,R211A
2920,3/8/2025 7:47am,S,R68
1593,3/8/2025 8:00am,3,R62
6404,3/8/2025 8:44am,2,R142
2917,3/8/2025 8:54am,S,R68
3213,3/8/2025 9:00am,C,R179
5992,3/8/2025 11:11am,C,R46
8321,3/8/2025 11:40am,L,R160
7172,3/8/2025 12:16pm,4,R142
4264,3/8/2025 12:34pm,A,R211A
4263,3/8/2025 5:13pm,A,R211A
7162,3/8/2025 5:31pm,4,R142
5543,3/8/2025 6:13pm,N,R46
7087,3/8/2025 6:18pm,5,R142
4186,3/8/2025 6:28pm,A,R211A
4163,3/14/2025 8:09am,C,R211A
4123,3/14/2025 1:46pm,A,R211A
3226,3/14/2025 2:09pm,C,R179
4345,3/15/2025 9:49am,C,R211A
2916,3/15/2025 9:58am,S,R68
6392,3/15/2025 10:07am,2,R142
1410,3/15/2025 1:14pm,3,R62
2918,3/15/2025 1:23pm,S,R68
4376,3/15/2025 1:34pm,C,R211A
3318,3/15/2025 7:06pm,A,R179
3186,3/15/2025 10:07pm,C,R179
4410,3/16/2025 9:26am,A,R211A
8532,3/16/2025 10:36am,J,R160
4254,3/16/2025 9:06pm,C,R211A
4094,3/16/2025 9:15pm,A,R211A
8772,3/17/2025 12:39am,F,R160
5983,3/17/2025 1:00am,A,R46
4280,3/17/2025 12:40pm,C,R211A
4340,3/19/2025 8:09pm,A,R211A
6053,3/19/2025 11:28pm,A,R46
2916,3/22/2025 8:59am,S,R68
6434,3/22/2025 9:19am,2,R142
6593,3/22/2025 10:41am,2,R142
1503,3/22/2025 12:16pm,3,R62
3049,3/22/2025 7:16pm,A,R179
9605,3/22/2025 7:24pm,F,R160
2061,3/22/2025 7:50pm,6,R62A
8174,3/22/2025 11:14pm,L,R143
4154,3/22/2025 11:31pm,A,R211A
3170,3/25/2025 8:27pm,C,R179
4327,3/25/2025 9:01pm,C,R211A
3211,3/28/2025 8:20pm,C,R179
4163,3/28/2025 11:56pm,A,R211A
4159,3/29/2025 10:13am,C,R211A
8700,3/29/2025 10:09pm,F,R160
4203,3/29/2025 10:18pm,C,R211A
4450,4/3/2025 7:36pm,C,R211A
5959,4/3/2025 8:31pm,A,R46
4345,4/4/2025 5:53pm,C,R211A
3120,4/4/2025 10:00pm,C,R179
4074,4/5/2025 8:43am,A,R211A
5889,4/5/2025 9:10am,Q,R46
1503,4/5/2025 10:24am,3,R62
6163,4/5/2025 10:54am,C,R46
4185,4/5/2025 8:31pm,C,R211A
4400,4/6/2025 8:51pm,C,R211A
9117,4/6/2025 9:00pm,F,R160
9432,4/6/2025 11:53pm,F,R160
4196,4/7/2025 12:06am,A,R211A
3174,4/11/2025 6:56pm,C,R179
4394,4/11/2025 10:10pm,C,R211A
4246,4/12/2025 9:23am,C,R211A
2924,4/12/2025 9:36am,S,R68
1409,4/12/2025 9:41am,3,R62
3211,4/12/2025 11:00am,C,R179
3211,4/12/2025 11:49am,C,R179
3014,4/12/2025 2:57pm,A,R179
3145,4/13/2025 8:49pm,C,R179
4287,4/14/2025 12:08am,A,R211A
4280,4/14/2025 2:11pm,C,R211A
4268,4/14/2025 6:47pm,A,R211A
4300,4/20/2025 11:49am,C,R211A
3402,4/20/2025 12:35pm,A,R211A
4339,4/20/2025 12:49pm,C,R211A
3210,4/21/2025 7:47pm,C,R179
3299,4/21/2025 10:32pm,A,R179
4465,4/24/2025 5:55pm,C,R211A
3154,4/27/2025 8:10pm,C,R179
8342,4/27/2025 8:37pm,L,R160
8359,4/27/2025 11:43pm,L,R160
4111,4/27/2025 11:55pm,A,R211A
4361,4/29/2025 6:31pm,A,R211A
2510,4/29/2025 6:52pm,D,R68
8835,4/29/2025 8:34pm,C,R160
4326,5/3/2025 8:08am,A,R211A
4185,5/5/2025 9:54pm,C,R211A
3046,5/6/2025 1:07am,A,R179
3173,5/9/2025 7:33am,C,R179
3019,5/9/2025 6:55pm,A,R179
8903,5/9/2025 7:00pm,F,R160
9571,5/9/2025 9:38pm,F,R160
4166,5/9/2025 9:46pm,C,R211A
4478,5/10/2025 8:04am,A,R211A
4426,5/10/2025 10:01am,A,R211A
3106,5/10/2025 4:48pm,C,R179
3060,5/10/2025 6:51pm,C,R179
3166,5/10/2025 7:35pm,C,R179
4385,5/11/2025 12:00pm,C,R211A
4249,5/14/2025 11:49am,C,R211A
4381,5/14/2025 4:00pm,C,R211A
8803,5/17/2025 8:36pm,F,R160
3230,5/17/2025 8:36pm,C,R179
9207,5/17/2025 11:16pm,F,R160
3320,5/17/2025 11:35pm,A,R179
4270,5/26/2025 9:43am,A,R211A
9850,5/26/2025 10:11am,R,R160
3408,5/26/2025 11:00am,C,R211A
4239,5/26/2025 8:13pm,C,R211A
9492,5/26/2025 8:24pm,F,R160
9043,5/27/2025 12:23am,D,R160
4436,5/27/2025 12:31am,A,R211A
2920,5/31/2025 8:34am,S,R68
1361,5/31/2025 8:37am,3,R62
7603,5/31/2025 9:16am,4,R142A
4336,5/31/2025 9:59am,C,R211A
3519,5/31/2025 6:35pm,A,R211A
3518,6/1/2025 12:23am,A,R211A
3152,6/1/2025 5:07pm,C,R179
7326,6/12/2025 8:24pm,7,R188
5609,6/12/2025 8:40pm,G,R46
4069,6/13/2025 8:14am,C,R211A
4217,6/13/2025 1:33pm,A,R211A
3501,6/13/2025 1:50pm,C,R211A
4079,6/14/2025 9:42am,A,R211A
4493,6/14/2025 11:28am,C,R211A
3240,6/15/2025 9:51am,A,R179
1482,6/15/2025 10:11am,3,R62
6335,6/15/2025 10:42am,2,R142
3402,6/15/2025 3:09pm,A,R211A
3188,6/15/2025 7:02pm,C,R179
4100,6/15/2025 10:14pm,A,R211A
3174,6/18/2025 8:18pm,C,R179
3123,6/18/2025 9:17pm,C,R179
3405,6/19/2025 8:49am,C,R211A
3209,6/19/2025 9:22am,C,R179
4224,6/19/2025 6:21pm,A,R211A
4366,6/19/2025 7:26pm,A,R211A
3134,6/20/2025 8:45pm,C,R179
3049,6/20/2025 11:59pm,A,R179
4432,6/22/2025 9:25am,A,R211A
6162,6/22/2025 9:45am,S,R46
3028,6/22/2025 7:08pm,S,R179
4186,6/22/2025 7:26pm,A,R211A
4411,6/23/2025 8:48pm,C,R211A
9437,6/23/2025 9:08pm,F,R160
9471,6/23/2025 11:54pm,F,R160
3035,6/24/2025 12:03am,A,R179
3134,6/25/2025 2:04pm,C,R179
2917,6/25/2025 2:09pm,S,R68
4330,6/26/2025 8:39pm,A,R211A
8488,6/27/2025 12:40am,J,R160
4090,6/27/2025 1:14am,A,R211A
3034,6/27/2025 9:55pm,A,R179
8130,6/27/2025 10:20pm,L,R143
8338,6/27/2025 10:36pm,L,R160
3415,6/28/2025 2:02am,G,R211A
4264,6/28/2025 2:26am,A,R211A
4206,6/28/2025 9:31am,A,R211A
3036,6/28/2025 10:31am,A,R179
4456,6/28/2025 10:48am,C,R211A
4145,6/29/2025 12:41pm,A,R211A
6164,6/29/2025 6:24pm,S,R46
4454,6/29/2025 6:41pm,A,R211A
4298,6/29/2025 7:12pm,C,R211A
4388,7/2/2025 7:32pm,A,R211A
9718,7/2/2025 8:45pm,E,R160
4184,7/2/2025 8:46pm,A,R211A
4073,7/4/2025 8:20pm,C,R211A
8353,7/4/2025 8:30pm,L,R160
8319,7/4/2025 11:30pm,L,R160
4341,7/4/2025 11:53pm,A,R211A
3238,7/5/2025 12:15am,A,R179
3406,7/5/2025 9:52am,C,R211A
4159,7/5/2025 10:00am,A,R211A
3019,7/5/2025 10:31am,S,R179
3503,7/5/2025 12:24pm,A,R211A
4080,7/5/2025 12:36pm,C,R211A
4434,7/8/2025 8:47pm,C,R211A
9670,7/8/2025 9:04pm,F,R160
8752,7/9/2025 12:17am,F,R160
4268,7/9/2025 12:43am,A,R211A
3019,7/12/2025 3:12pm,C,R179
2920,7/12/2025 3:27pm,S,R68
2921,7/12/2025 4:19pm,S,R68
3168,7/12/2025 4:34pm,C,R179
3182,7/12/2025 7:29pm,C,R179
8978,7/12/2025 7:40pm,R,R160
4183,7/12/2025 10:21pm,C,R211A
3237,7/14/2025 7:54am,C,R179
3281,7/14/2025 12:32pm,A,R179
4228,7/15/2025 4:14pm,A,R211A
7683,7/15/2025 4:27pm,4,R142A
7061,7/15/2025 5:11pm,5,R142
3307,7/15/2025 8:19pm,A,R179
5057,7/15/2025 8:20pm,Q,R68A
5057,7/15/2025 8:32pm,Q,R68A
1989,7/15/2025 9:41pm,6,R62A
1160,7/16/2025 12:29am,4,R142
3280,7/16/2025 12:51am,A,R179
4265,7/16/2025 8:25am,C,R211A
9399,7/16/2025 10:22am,F,R160
1663,7/16/2025 10:30am,6,R62A
3169,7/16/2025 1:15pm,C,R179
4189,7/16/2025 2:09pm,C,R211A
1158,7/16/2025 2:31pm,4,R142
6657,7/16/2025 2:50pm,5,R142
4298,7/16/2025 3:04pm,C,R211A
4489,7/19/2025 10:12am,S,R211A
4163,7/19/2025 10:25am,A,R211A
3227,7/19/2025 8:26pm,C,R179
5797,7/19/2025 9:02pm,Q,R46
9090,7/19/2025 9:10pm,F,R160
8843,7/20/2025 12:37am,F,R160
4413,7/20/2025 12:49am,A,R211A
3404,7/21/2025 9:41pm,C,R211A
3186,7/21/2025 10:21pm,C,R179
3269,7/24/2025 6:55pm,A,R179
4422,7/24/2025 10:39pm,C,R211A
3154,7/25/2025 6:41pm,C,R179
9278,7/25/2025 6:50pm,F,R160
5162,7/25/2025 7:24pm,B,R68A
1539,7/25/2025 8:04pm,3,R62
7682,7/26/2025 6:45am,4,R142A
4492,7/29/2025 8:33pm,C,R211A
6543,7/29/2025 8:52pm,5,R142
7145,7/29/2025 11:31pm,4,R142
3239,7/29/2025 11:53pm,A,R179
2927,7/30/2025 8:07am,S,Unknown
1502,7/30/2025 8:19am,3,R62
6484,7/30/2025 9:03am,2,R142
3169,7/30/2025 9:12am,C,R179
4180,8/5/2025 7:30pm,A,R211A
3278,8/5/2025 10:23pm,A,R179
4389,8/9/2025 1:15pm,C,R211A
3188,8/9/2025 4:53pm,C,R179
2917,8/9/2025 8:18pm,S,R68
2916,8/9/2025 11:27pm,S,R68
3040,8/10/2025 1:05pm,A,R179
4400,8/10/2025 5:44pm,A,R211A
4461,8/10/2025 6:34pm,C,R211A
4164,8/10/2025 7:14pm,C,R211A
4499,8/14/2025 7:25pm,C,R211A
9687,8/14/2025 7:35pm,F,R160
9687,8/14/2025 10:03pm,F,R160
4377,8/14/2025 10:15pm,A,R211A
3165,8/20/2025 6:52pm,C,R179
3151,8/20/2025 7:24pm,C,R179
3192,8/22/2025 6:19pm,C,R179
4419,8/22/2025 9:04pm,C,R211A
3158,8/24/2025 7:42am,C,R179
9347,8/24/2025 8:36am,E,R160
2699,8/24/2025 8:49am,D,R68
2547,8/24/2025 12:23pm,D,R68
4354,8/24/2025 12:54pm,A,R211A
4481,8/24/2025 1:48pm,A,R211A
4497,8/25/2025 11:32pm,A,R211A
4157,8/26/2025 12:10am,A,R211A
4175,8/29/2025 4:34pm,A,R211A
9940,8/29/2025 4:42pm,R,R160
9207,8/29/2025 6:25pm,R,R160
3180,8/29/2025 7:01pm,C,R179
3185,8/30/2025 6:36pm,C,R179
4365,8/30/2025 10:22pm,C,R211A
4152,8/31/2025 9:26am,A,R211A
6946,8/31/2025 12:07pm,5,R142
3203,8/31/2025 12:16pm,C,R179
4318,8/31/2025 4:02pm,C,R211A
7668,8/31/2025 4:18pm,4,R142A
7762,8/31/2025 5:46pm,4,R142A
3406,8/31/2025 6:05pm,A,R211A
3024,9/1/2025 3:00pm,A,R179
3020,9/1/2025 4:48pm,A,R179
7163,9/1/2025 5:06pm,4,R142
1179,9/1/2025 6:42pm,4,R142
3324,9/1/2025 6:47pm,A,R179
4264,9/2/2025 10:15am,A,R211A
7774,9/2/2025 10:28am,4,R142A
7165,9/2/2025 11:47am,4,R142
4357,9/2/2025 11:51am,A,R211A
3195,9/2/2025 4:25pm,C,R179
7738,9/2/2025 4:41pm,4,R142A
4328,9/2/2025 6:28pm,A,R211A
4394,9/3/2025 5:01pm,A,R211A
3439,9/3/2025 5:07pm,G,R211A
7535,9/3/2025 5:35pm,7,R188
5816,9/3/2025 6:51pm,N,R46
8961,9/3/2025 7:43pm,F,R160
3326,9/3/2025 8:00pm,A,R179
4255,9/4/2025 8:04am,A,R211A
3501,9/4/2025 9:48am,A,R211A
3021,9/5/2025 5:49pm,A,R179
4226,9/5/2025 9:20pm,C,R211A
4451,9/6/2025 4:24pm,A,R211A
3570,9/6/2025 4:28pm,G,R211A
6447,9/6/2025 5:34pm,2,R142
2916,9/6/2025 5:44pm,S,R68
4353,9/6/2025 6:00pm,C,R211A
4230,9/7/2025 9:52am,C,R211A
3316,9/7/2025 10:06am,A,R179
6065,9/7/2025 10:43am,S,R46
5929,9/7/2025 1:47pm,S,R46
4123,9/7/2025 2:01pm,A,R211A
3160,9/7/2025 2:30pm,C,R179
3515,9/7/2025 4:50pm,C,R211A
4053,9/7/2025 4:58pm,G,R211T
6423,9/7/2025 7:46pm,2,R142
2924,9/7/2025 7:52pm,S,R68
4093,9/7/2025 8:05pm,C,R211A
4312,9/8/2025 7:48am,A,R211A
4464,9/8/2025 10:15am,A,R211A
3179,9/8/2025 12:34pm,C,R179
7748,9/8/2025 12:50pm,4,R142A
4276,9/8/2025 4:07pm,A,R211A
3201,9/8/2025 4:19pm,C,R179
3403,9/10/2025 9:54am,A,R211A
4296,9/10/2025 10:51am,C,R211A
4445,9/10/2025 5:35pm,A,R211A
3193,9/11/2025 6:55pm,C,R179
9328,9/11/2025 7:55pm,F,R160
4095,9/11/2025 9:00pm,C,R211A
3230,9/12/2025 6:56am,C,R179
8547,9/12/2025 7:12am,J,R160
3185,9/12/2025 12:43pm,C,R179
1815,9/12/2025 1:34pm,6,R62A
8258,9/12/2025 1:46pm,L,R143
7275,9/12/2025 3:55pm,7,R188
2283,9/12/2025 4:01pm,1,R62A
4291,9/12/2025 5:51pm,A,R211A
2896,9/12/2025 8:56pm,B,R68
6695,9/12/2025 9:02pm,2,R142
4271,9/12/2025 10:24pm,C,R211A
4233,9/13/2025 1:04pm,A,R211A
1228,9/13/2025 4:12pm,4,R142
5865,9/13/2025 5:07pm,Q,R46
4261,9/13/2025 5:30pm,C,R211A
4425,9/13/2025 6:23pm,C,R211A
9598,9/13/2025 6:37pm,F,R160
8672,9/13/2025 8:13pm,F,R160
4196,9/13/2025 9:10pm,A,R211A
4353,9/14/2025 8:11am,A,R211A
5516,9/14/2025 8:45am,Q,R46
5896,9/14/2025 9:51am,Q,R46
7616,9/14/2025 10:17am,4,R142A
7698,9/14/2025 5:27pm,4,R142A
5503,9/14/2025 5:36pm,Q,R46
3510,9/14/2025 6:42pm,C,R211A
3279,9/15/2025 6:06pm,A,R179
3293,9/15/2025 9:33pm,A,R179
4333,9/15/2025 9:50pm,C,R211A
3185,9/17/2025 1:22pm,C,R179
3418,9/17/2025 1:37pm,B,R211A
3522,9/17/2025 4:02pm,G,R211A
4209,9/17/2025 4:18pm,C,R211A
4307,9/17/2025 4:46pm,C,R211A
4121,9/18/2025 8:19am,A,R211A
4215,9/18/2025 12:58pm,A,R211A
3319,9/18/2025 4:54pm,A,R179
9470,9/18/2025 4:59pm,F,R160
3298,9/19/2025 4:11pm,A,R179
3401,9/19/2025 9:27pm,A,R211A
3264,9/20/2025 8:05am,A,R179
6943,9/20/2025 12:03pm,5,R142
7042,9/20/2025 12:11pm,5,R142
4183,9/20/2025 12:48pm,A,R211A
4498,9/20/2025 4:26pm,A,R211A
3237,9/20/2025 7:43pm,C,R179
3500,9/21/2025 9:32am,A,R211A
9318,9/21/2025 10:04am,E,R160
8811,9/21/2025 12:54pm,F,R160
4333,9/21/2025 1:26pm,A,R211A
4375,9/21/2025 2:27pm,C,R211A
2919,9/21/2025 2:39pm,S,R68
6411,9/21/2025 2:50pm,2,R142
1387,9/21/2025 3:12pm,3,R62
4361,9/23/2025 12:09pm,A,R211A
6478,9/23/2025 12:38pm,5,R142
2103,9/23/2025 12:49pm,6,R62A
1765,9/23/2025 1:15pm,6,R62A
7155,9/23/2025 1:35pm,4,R142
4138,9/23/2025 1:44pm,A,R211A
3231,9/23/2025 5:36pm,C,R179
3176,9/23/2025 5:59pm,C,R179
4416,9/25/2025 9:26am,A,R211A
5595,9/25/2025 9:47am,N,R46
5635,9/25/2025 10:13am,N,R46
9520,9/25/2025 11:05am,E,R160
3203,9/25/2025 11:29am,C,R179
3203,9/25/2025 2:38pm,C,R179
3106,9/25/2025 2:47pm,J,R179
8595,9/25/2025 2:58pm,M,R160
8571,9/25/2025 4:02pm,M,R160
8202,9/25/2025 4:27pm,J,R143
4122,9/25/2025 4:48pm,C,R211A
3405,9/25/2025 6:26pm,C,R211A
4313,9/25/2025 7:01pm,C,R211A
3228,9/26/2025 8:34am,C,R179
2920,9/26/2025 8:39am,S,R68
6581,9/26/2025 8:53am,2,R142
6561,9/26/2025 9:50am,5,R142
2921,9/26/2025 10:03am,S,R68
4406,9/26/2025 10:15am,C,R211A
3148,9/27/2025 10:49am,C,R179
9128,9/27/2025 11:04am,F,R160
9542,9/27/2025 2:24pm,F,R160
4345,9/27/2025 2:30pm,C,R211A
4382,9/27/2025 5:14pm,A,R211A
4149,9/27/2025 5:55pm,C,R211A
1783,9/27/2025 9:07pm,6,R62A
8906,9/27/2025 9:27pm,F,R160
3408,9/27/2025 9:40pm,C,R211A
4369,10/2/2025 8:12am,C,R211A
3419,10/2/2025 8:21am,G,R211A
9017,10/2/2025 8:41am,F,R160
3178,10/2/2025 8:49am,C,R179
3214,10/2/2025 8:34pm,C,R179
4198,10/2/2025 9:11pm,C,R211A
4497,10/3/2025 10:12am,A,R211A
6933,10/3/2025 10:19am,5,R142
